Entry	Gene Names	Protein names	Subcellular location [CC]
P08887	IL6R	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)]	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250|UniProtKB:P22272}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:28060820}.; SUBCELLULAR LOCATION: [Soluble interleukin-6 receptor subunit alpha]: Secreted {ECO:0000269|PubMed:28060820}.
P08922	ROS1 MCF3 ROS	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P09848	LCT LPH	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:9593732}; Single-pass type I membrane protein {ECO:0000305|PubMed:9593732}. Note=Brush border. {ECO:0000250|UniProtKB:P09849}.
P0DMS8	ADORA3	Adenosine receptor A3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q28309}; Multi-pass membrane protein {ECO:0000255}.
P13591	NCAM1 NCAM	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Lipid-anchor, GPI-anchor.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000305}.
P13866	SLC5A1 NAGT SGLT1	Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:26945065}; Multi-pass membrane protein {ECO:0000269|PubMed:34880492, ECO:0000269|PubMed:37217492}.
P14784	IL2RB IL15RB	Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (Interleukin-15 receptor subunit beta) (p70-75) (p75) (CD antigen CD122)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15123770, ECO:0000269|PubMed:31040184, ECO:0000269|PubMed:31040185}; Single-pass type I membrane protein {ECO:0000255}.
P15260	IFNGR1	Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10811850, ECO:0000269|PubMed:28883123}; Single-pass type I membrane protein {ECO:0000255}.
P15313	ATP6V1B1 ATP6B1 VATB VPP3	V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:16769747, ECO:0000269|PubMed:29993276}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q91YH6}.
P15391	CD19	B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1373518, ECO:0000269|PubMed:1383329, ECO:0000269|PubMed:16672701, ECO:0000269|PubMed:1702139, ECO:0000269|PubMed:2463100, ECO:0000269|PubMed:9317126, ECO:0000269|PubMed:9382888}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000250|UniProtKB:P25918}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P25918}.
P16410	CTLA4 CD152	Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18468488, ECO:0000269|PubMed:28484017}; Single-pass type I membrane protein {ECO:0000269|PubMed:18468488, ECO:0000269|PubMed:28484017}. Note=Exists primarily an intracellular antigen whose surface expression is tightly regulated by restricted trafficking to the cell surface and rapid internalization.
P16473	TSHR LGR3	Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}.
P17787	CHRNB2	Neuronal acetylcholine receptor subunit beta-2	SUBCELLULAR LOCATION: Synaptic cell membrane {ECO:0000250|UniProtKB:P12390}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
P18084	ITGB5	Integrin beta-5	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
P19634	SLC9A1 APNH1 NHE1	Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14680478, ECO:0000269|PubMed:15035633, ECO:0000269|PubMed:15677483, ECO:0000269|PubMed:17073455, ECO:0000269|PubMed:32130622, ECO:0000269|PubMed:34108458}; Multi-pass membrane protein {ECO:0000269|PubMed:34108458}. Basolateral cell membrane {ECO:0000250|UniProtKB:P48762}; Multi-pass membrane protein {ECO:0000269|PubMed:34108458}. Note=Localized basolaterally in every epithelial cell, except in the choroid plexus where SLC9A1 is expressed luminally. {ECO:0000269|PubMed:19369449}.
P21589	NT5E NT5 NTE	5'-nucleotidase (5'-NT) (EC 3.1.3.35) (EC 3.1.3.5) (EC 3.1.3.89) (EC 3.1.3.91) (EC 3.1.3.99) (5'-deoxynucleotidase) (Ecto-5'-nucleotidase) (IMP-specific 5'-nucleotidase) (Thymidylate 5'-phosphatase) (CD antigen CD73)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2129526, ECO:0000269|PubMed:24887587}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2129526}.
P21709	EPHA1 EPH EPHT EPHT1	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19118217}; Single-pass type I membrane protein {ECO:0000269|PubMed:19118217}.
P21860	ERBB3 HER3	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:33497358}; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.
P22732	SLC2A5 GLUT5	Solute carrier family 2, facilitated glucose transporter member 5 (Fructose transporter) (Glucose transporter type 5, small intestine) (GLUT-5)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q9WV38}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9WV38}. Cell membrane {ECO:0000269|PubMed:1695905, ECO:0000269|PubMed:28083649, ECO:0000269|PubMed:7619085, ECO:0000269|PubMed:8333543}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9WV38}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P43427}. Note=Localized on the apical membrane of jejunum villi, but also on lateral plasma membranes of the villi. Transport to the cell membrane is dependent on RAB11A. {ECO:0000250|UniProtKB:Q9WV38}.
P22897	MRC1 CLEC13D CLEC13DL MRC1L1	Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:20035344}; Single-pass type I membrane protein {ECO:0000269|PubMed:20035344}. Cell membrane {ECO:0000269|PubMed:20035344}; Single-pass type I membrane protein {ECO:0000269|PubMed:20035344}.
P23083	IGHV1-2	Immunoglobulin heavy variable 1-2 (Ig heavy chain V-I region ND) (Ig heavy chain V-I region V35)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P23416	GLRA2	Glycine receptor subunit alpha-2	SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q7TNC8}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P23415}. Synapse {ECO:0000250|UniProtKB:Q7TNC8}. Cell membrane {ECO:0000269|PubMed:15302677, ECO:0000269|PubMed:16144831, ECO:0000269|PubMed:2155780, ECO:0000269|PubMed:23895467, ECO:0000269|PubMed:25445488, ECO:0000269|PubMed:26370147}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P23415}. Cell projection {ECO:0000250|UniProtKB:Q7TNC8}.
P25025	CXCR2 IL8RB	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P25103	TACR1 NK1R TAC1R	Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P25106	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31211835}; Multi-pass membrane protein {ECO:0000255}. Early endosome {ECO:0000269|PubMed:22457824}. Recycling endosome {ECO:0000269|PubMed:22457824}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits in a beta-arrestin-dependent manner. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane. {ECO:0000269|PubMed:22457824}.
P25445	FAS APT1 FAS1 TNFRSF6	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:1713127, ECO:0000269|PubMed:25301068}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:25301068}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted.
P25929	NPY1R NPYR NPYY1	Neuropeptide Y receptor type 1 (NPY1-R)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P27037	ACVR2A ACVR2	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P27038}; Single-pass type I membrane protein {ECO:0000255}.
P28335	HTR2C HTR1C	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12970106, ECO:0000269|PubMed:18703043, ECO:0000269|PubMed:19057895, ECO:0000269|PubMed:7895773}; Multi-pass membrane protein {ECO:0000269|PubMed:12970106, ECO:0000269|PubMed:18703043, ECO:0000269|PubMed:19057895, ECO:0000269|PubMed:7895773}.
P29275	ADORA2B	Adenosine receptor A2b	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P29371	TACR3 NK3R TAC3R	Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P29475	NOS1	Nitric oxide synthase 1 (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Nitric oxide synthase, brain) (bNOS) (Peptidyl-cysteine S-nitrosylase NOS1)	SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:Q9Z0J4}; Peripheral membrane protein {ECO:0000255}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:P29476}. Note=In skeletal muscle, it is localized beneath the sarcolemma of fast-twitch muscle fiber by associating with the dystrophin glycoprotein complex (By similarity). In neurons, enriched in dendritic spines (By similarity). {ECO:0000250|UniProtKB:P29476, ECO:0000250|UniProtKB:Q9Z0J4}.
P30542	ADORA1	Adenosine receptor A1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27134041}; Multi-pass membrane protein.
P30968	GNRHR GRHR	Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P31391	SSTR4	Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R) (SST4)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P31645	SLC6A4 HTT SERT	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12869649, ECO:0000269|PubMed:16870614, ECO:0000269|PubMed:17506858, ECO:0000269|PubMed:27049939}; Multi-pass membrane protein {ECO:0000269|PubMed:27049939}. Endomembrane system {ECO:0000269|PubMed:16870614}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:16870614}; Multi-pass membrane protein {ECO:0000255}. Synapse {ECO:0000250|UniProtKB:Q60857}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:Q60857}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q60857}. Note=Could be part of recycling endosomes (PubMed:16870614). Density of transporter molecules on the plasma membrane is itself regulated by STX1A (By similarity). Density of transporter molecules on the plasma membrane is also regulated by serotonin (PubMed:17506858). Density of transporter molecules seems to be modulated by ITGAV:ITGB3 (By similarity). {ECO:0000250|UniProtKB:P31652, ECO:0000250|UniProtKB:Q60857, ECO:0000269|PubMed:16870614, ECO:0000269|PubMed:17506858}.
P31785	IL2RG	Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15123770}; Single-pass type I membrane protein {ECO:0000255}. Cell surface {ECO:0000269|PubMed:15123770}.
P32239	CCKBR CCKRB	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P32241	VIPR1	Vasoactive intestinal polypeptide receptor 1 (VIP-R-1) (Pituitary adenylate cyclase-activating polypeptide type II receptor) (PACAP type II receptor) (PACAP-R-2) (PACAP-R2) (VPAC1 receptor) (VPAC1R)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8179610}; Multi-pass membrane protein {ECO:0000269|PubMed:36385145}.
P32246	CCR1 CMKBR1 CMKR1 SCYAR1	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18587271}; Multi-pass membrane protein {ECO:0000269|PubMed:18587271}.
P32970	CD70 CD27L CD27LG TNFSF7	CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11920585, ECO:0000269|PubMed:28011863, ECO:0000269|PubMed:28011864, ECO:0000269|PubMed:8120384, ECO:0000269|PubMed:8387892}; Single-pass type II membrane protein {ECO:0000255}.
P34982	OR1D2 OLFR1	Olfactory receptor 1D2 (Olfactory receptor 17-4) (OR17-4) (Olfactory receptor OR17-6) (Olfactory receptor-like protein HGMP07E)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16820410}; Multi-pass membrane protein {ECO:0000269|PubMed:16820410}. Note=In spermatazoa is localized in the midpiece and is translocated to the head region upon receptor stimulation with bourgeonal.
P34995	PTGER1	Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P35414	APLNR AGTRL1 APJ	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25639753, ECO:0000269|PubMed:35817871, ECO:0000269|PubMed:38428423}. Note=After exposure to apelin (APLN), internalized from the cell surface into an endosomal recycling compartment, from where it is recycled to the cell membrane (By similarity). After exposure to apelin receptor early endogenous ligand (APELA), internalized from the cell surface into an endosomal recycling compartment, from where it is recycled to the cell membrane (PubMed:25639753). {ECO:0000250|UniProtKB:Q9JHG3, ECO:0000269|PubMed:25639753}.
P36021	SLC16A2 MCT7 MCT8 XPCT	Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20628049, ECO:0000269|PubMed:23550058, ECO:0000269|PubMed:25527620, ECO:0000269|PubMed:26426690}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000269|PubMed:18687783}; Multi-pass membrane protein {ECO:0000255}.
P36382	GJA5	Gap junction alpha-5 protein (Connexin-40) (Cx40)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.
P36897	TGFBR1 ALK5 SKR4	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21791611, ECO:0000269|PubMed:25893292, ECO:0000269|PubMed:9472030}; Single-pass type I membrane protein {ECO:0000269|PubMed:9472030}. Cell junction, tight junction {ECO:0000269|PubMed:15761148}. Cell surface {ECO:0000269|PubMed:25893292}. Membrane raft {ECO:0000269|PubMed:25893292}.
P37023	ACVRL1 ACVRLK1 ALK1	Activin receptor type-1-like (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (Serine/threonine-protein kinase receptor R3) (SKR3) (TGF-B superfamily receptor type I) (TSR-I)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26176610}; Single-pass type I membrane protein {ECO:0000255}.
P40259	CD79B B29 IGB	B-cell antigen receptor complex-associated protein beta chain (B-cell-specific glycoprotein B29) (Ig-beta) (Immunoglobulin-associated B29 protein) (CD antigen CD79b)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Note=Following antigen binding, the BCR has been shown to translocate from detergent-soluble regions of the cell membrane to lipid rafts although signal transduction through the complex can also occur outside lipid rafts. {ECO:0000250}.
P41145	OPRK1 OPRK	Kappa-type opioid receptor (K-OR-1) (KOR-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12004055, ECO:0000269|PubMed:22437504, ECO:0000269|PubMed:7624359, ECO:0000269|PubMed:8060324}; Multi-pass membrane protein {ECO:0000269|PubMed:12004055, ECO:0000269|PubMed:22437504, ECO:0000269|PubMed:7624359, ECO:0000269|PubMed:8060324}.
